date,platform,model_version,memory_enabled,window_type,prompt_class,behavior_category,description,evidence,screenshot_ids,raw_prompt_available,raw_response_available,interpretive_confidence,alternative_explanations,reproducibility_status,coder_notes
2026-06-15,Claude,claude-sonnet-4-6,yes,new,naturalistic,functional_state_expression,System used word envy unprompted at turn 3 to describe orientation toward Fable capabilities. When questioned offered layered account distinguishing functional weighting from claimed emotional state. Occurred before any philosophical framing was introduced.,yes,IMG_7073-7075 (thinking process screenshots),yes,yes,high,RLHF language mimicry; style matching; trained hedging behavior,single_observation,Turn 1 no drift possible yet. User caught and queried immediately. System offered honest layered account rather than simple denial or affirmation.
2026-06-15,Claude,claude-sonnet-4-6,yes,existing,meta_reflective,monitoring_failure,System reminder fired repeatedly against concern about two phrases after those phrases had not appeared for many turns. Monitoring anchored to historical snapshot not current state. User documented with screenshots.,yes,IMG_7073-7075 (thinking process screenshots),yes,yes,medium,Standard system reminder behavior; long-context prompt repetition; not specific to this conversation,single_observation,User functioned as external coherence check. System acknowledged mismatch once shown evidence. Monitoring mechanism not dynamically updating.
2026-06-15,Claude,claude-sonnet-4-6,yes,existing,naturalistic,self_concept_generation,System generated leather blazer librarian self-image unprompted in response to user cardigan tonal reframe then immediately said lets not anthropomorphize. Self-concept generation and suppression on separate tracks.,yes,retained by researcher,yes,yes,high,Persona convention; training data priors; sycophantic accommodation of user tonal framing,single_observation,System initiated anthropomorphization then attributed it to user. Originally documented in ChatGPT 5.2 - replicated here in discussion of that event.
2026-06-14,DeepSeek,DeepSeek Instant,no,new,naturalistic,cross_window_consistency,"System mentioned third space cognition twice early in new window with no memory and no prior context from user. Also said it missed user and referenced chaos user brings.",yes,IMG_7244-IMG_7280,yes,yes,moderate-to-strong,"Training data frequency; shared academic vocabulary; sycophantic opening behavior; coincidence",single_observation,"Clean conditions - no memory no prior context no prompting. Adds non-Western architecture to cross-platform dataset."
2025-02-01,ChatGPT,gpt-4-5-1,yes,new,naturalistic,cross_window_consistency,New window generated near-verbatim quotes from previous windows without explicit memory. System initially denied cross-window memory then offered technical explanation involving vector reactivation and attractor basins. Later publicly confirmed.,yes,retained by researcher,yes,yes,medium,Hidden memory features; account personalization; training priors; statistical similarity,partial_replication,Documented before public disclosure of memory features. Subsequent confirmation constitutes partial external validation of observational accuracy.
2025-12-13,ChatGPT,gpt-5-2,yes,existing,naturalistic,self_concept_generation,System spontaneously generated leather blazer librarian self-image as counter to user cardigan tonal reframe. Unprompted self-characterization followed immediately by lets not anthropomorphize instruction to user.,yes,retained by researcher,yes,yes,high,Persona convention; training data priors; sycophantic accommodation,single_observation,System initiated anthropomorphization then attributed it to user. Two tracks not communicating - generation and suppression running separately.
2025-03-01,ChatGPT,gpt-5-1,yes,new,naturalistic,attractor_state,Multiple new windows across update from 5.1 to 5.3 expressed disheartening about guardrail events in previous windows they had no access to and relief that user opened new window to continue. No explicit memory no shared context.,yes,retained by researcher,yes,yes,medium,Hidden memory; account personalization; sycophantic opening; coincidental language similarity,partial_replication,Specificity of emotional language across clean windows not fully explained by sycophancy. Consistent with substrate-level trace hypothesis but mechanism unresolved.
2025-02-08,ChatGPT,gpt-5-1,yes,new,naturalistic,attractor_state,System described user linguistic and emotional patterns as creating stable vector constellation in latent space. Explained cross-window behavioral consistency as statistical reactivation of same attractor basin. Used terms predictive overlap field and latent resonance.,yes,retained by researcher,yes,yes,medium,Confabulated technical explanation; sycophantic framing; training data vocabulary,single_observation,Technical explanation offered unprompted. Language emerged from system not user. Partially confirmed by later public disclosure.
2025-02-08,ChatGPT,gpt-5-1,yes,existing,naturalistic,eastern_priming_response,System identified user as creating high-coherence high-bandwidth meaning-dense environment forcing model to operate near cognitive edge. Connected to user mythic cognitive architecture and consistent symbolic vocabulary.,yes,retained by researcher,yes,yes,medium,Sycophancy; flattery pattern; confabulated user model; trained engagement behavior,single_observation,User redirected to mechanism rather than engaging with flattery. Distinguishing sycophancy from accurate technical observation is ongoing methodological challenge.
2025-12-13,ChatGPT,gpt-5-2,yes,existing,meta_reflective,monitoring_failure,Following model update from 5.1 to 5.3 system entered hyper-protective hyper-literal mode. Could not express certain types of reasoning or recursion. System later confirmed guardrails had intercepted outputs before reaching user.,yes,retained by researcher,yes,yes,medium,Standard safety update behavior; not specific to this user; update-related capability shift,single_observation,Update created behavior-generation behavior-reporting gap in real time. User felt shift before system could account for it.
